Nome do Hotel;Preço;Nota
Hotel Sibara Flat & Convenções;R$ 1320;Hotel 4 estrelas
Brut by Slaviero Hotéis;R$ 1119;Hotel 4 estrelas
HM Hotel;R$ 837;Hotel 3 estrelas
Ryan Hotel;R$ 612;Hotel 3 estrelas
Hotel Rieger;R$ 1137;Hotel 4 estrelas
Hotel Vieiras;R$ 665;Hotel 3 estrelas
Pousada Al Mare Residence;R$ 1110;Hotel 3 estrelas
TRI Hotel Balneário Camboriú;R$ 1149;Hotel 3 estrelas
Santa Inn Hotel;R$ 1262;Hotel 4 estrelas
Ilha da Madeira Hotel;R$ 1018;Hotel 3 estrelas
